movieId,title,genres,userId,movieId.1,rating
1.0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1.0,1.0,4.0
2.0,Jumanji (1995),Adventure|Children|Fantasy,1.0,3.0,4.0
3.0,Grumpier Old Men (1995),Comedy|Romance,1.0,6.0,4.0
4.0,Waiting to Exhale (1995),Comedy|Drama|Romance,1.0,47.0,5.0
5.0,Father of the Bride Part II (1995),Comedy,1.0,50.0,5.0
6.0,Heat (1995),Action|Crime|Thriller,1.0,70.0,3.0
7.0,Sabrina (1995),Comedy|Romance,1.0,101.0,5.0
8.0,Tom and Huck (1995),Adventure|Children,1.0,110.0,4.0
9.0,Sudden Death (1995),Action,1.0,151.0,5.0
10.0,GoldenEye (1995),Action|Adventure|Thriller,1.0,157.0,5.0
11.0,"American President, The (1995)",Comedy|Drama|Romance,1.0,163.0,5.0
12.0,Dracula: Dead and Loving It (1995),Comedy|Horror,1.0,216.0,5.0
13.0,Balto (1995),Adventure|Animation|Children,1.0,223.0,3.0
14.0,Nixon (1995),Drama,1.0,231.0,5.0
15.0,Cutthroat Island (1995),Action|Adventure|Romance,1.0,235.0,4.0
16.0,Casino (1995),Crime|Drama,1.0,260.0,5.0
17.0,Sense and Sensibility (1995),Drama|Romance,1.0,296.0,3.0
18.0,Four Rooms (1995),Comedy,1.0,316.0,3.0
19.0,Ace Ventura: When Nature Calls (1995),Comedy,1.0,333.0,5.0
20.0,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1.0,349.0,4.0
21.0,Get Shorty (1995),Comedy|Crime|Thriller,1.0,356.0,4.0
22.0,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1.0,362.0,5.0
23.0,Assassins (1995),Action|Crime|Thriller,1.0,367.0,4.0
24.0,Powder (1995),Drama|Sci-Fi,1.0,423.0,3.0
25.0,Leaving Las Vegas (1995),Drama|Romance,1.0,441.0,4.0
26.0,Othello (1995),Drama,1.0,457.0,5.0
27.0,Now and Then (1995),Children|Drama,1.0,480.0,4.0
28.0,Persuasion (1995),Drama|Romance,1.0,500.0,3.0
